source_team_rank,source_team,source_player_id,real_nickname,inspired_name,region,role,archetype,drama_title,personality,visual_identity,face_safety_note,current_team,image_status,original_reference_required,original_reference_image_path,reference_visual_anchor,similarity_target,likeness_comparison_required,generation_channel,revision_note
1,Vitality,hltv-ranking-2026-06-01:Vitality:apEX,apEX,A-Peak,France,IGL / entry,France tactical commander,France tactical commander,"Fictionalized IGL / entry persona built from region, role, body language and playstyle, not facial cloning.","France IGL / entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Vitality,prompt_only,YES,references/originals/Vitality/apEX.jpg,"France IGL / entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
1,Vitality,hltv-ranking-2026-06-01:Vitality:ropz,ropz,Ropaz,Estonia,lurker / rifler,Estonia rifle star posture,Estonia rifle star posture,"Fictionalized lurker / rifler persona built from region, role, body language and playstyle, not facial cloning.","Estonia lurker / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Vitality,prompt_only,YES,references/originals/Vitality/ropz.jpg,"Estonia lurker / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
1,Vitality,hltv-ranking-2026-06-01:Vitality:ZywOo,ZywOo,Zyvo,France,AWPer / star,French quiet AWP superstar,French quiet AWP superstar,Gentle but deadly silent carry,"Rounder/chubbier body and face impression, glasses, curly or fluffy curly hair, soft focused expression. Recognizable through silhouette/accessories/hair, not cloned facial features.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Vitality,sample_pending,YES,references/originals/Vitality/ZywOo.jpg,"Rounder/chubbier body and face impression, glasses, curly or fluffy curly hair, soft focused expression. Recognizable through silhouette/accessories/hair, not cloned facial features.","HIGH archetype recognition: chubby/rounder, glasses, curly hair, quiet French AWP aura must survive; facial identity must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,"Rejected previous draft: too thin, no glasses, no curly hair, generic face."
1,Vitality,hltv-ranking-2026-06-01:Vitality:flameZ,flameZ,FlameZe,Israel,entry / rifler,Israel aggressive entry posture,Israel aggressive entry posture,"Fictionalized entry / rifler persona built from region, role, body language and playstyle, not facial cloning.","Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Vitality,prompt_only,YES,references/originals/Vitality/flameZ.jpg,"Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
1,Vitality,hltv-ranking-2026-06-01:Vitality:mezii,mezii,Mezzy,United Kingdom,rifler / support,United Kingdom rifle star posture,United Kingdom rifle star posture,"Fictionalized rifler / support persona built from region, role, body language and playstyle, not facial cloning.","United Kingdom rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Vitality,prompt_only,YES,references/originals/Vitality/mezii.jpg,"United Kingdom rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
2,Natus Vincere,hltv-ranking-2026-06-01:Natus Vincere:Aleksib,Aleksib,Alek-C,Finland,IGL,Nordic cold-faced tactical commander,Nordic cold-faced tactical commander,"Calm, precise, pressure-proof IGL","Nordic commander silhouette, pale hair, clean lines, restrained expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Natus Vincere,sample_pending,YES,references/originals/Natus_Vincere/Aleksib.jpg,"Nordic commander silhouette, pale hair, clean lines, restrained expression.",Medium-high archetype recognition through cold IGL posture and Nordic styling.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with reference image; current built-in draft is not final.
2,Natus Vincere,hltv-ranking-2026-06-01:Natus Vincere:iM,iM,iMing,Romania,rifler,Romania rifle star posture,Romania rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Romania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Natus Vincere,prompt_only,YES,references/originals/Natus_Vincere/iM.jpg,"Romania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
2,Natus Vincere,hltv-ranking-2026-06-01:Natus Vincere:b1t,b1t,B-One,Ukraine,rifler / anchor,Ukraine rifle star posture,Ukraine rifle star posture,"Fictionalized rifler / anchor persona built from region, role, body language and playstyle, not facial cloning.","Ukraine rifler / anchor archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Natus Vincere,prompt_only,YES,references/originals/Natus_Vincere/b1t.jpg,"Ukraine rifler / anchor archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
2,Natus Vincere,hltv-ranking-2026-06-01:Natus Vincere:w0nderful,w0nderful,Wonder-F,Ukraine,AWPer,Ukraine sniper focus,Ukraine sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Ukraine AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Natus Vincere,prompt_only,YES,references/originals/Natus_Vincere/w0nderful.jpg,"Ukraine AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
2,Natus Vincere,hltv-ranking-2026-06-01:Natus Vincere:makazze,makazze,Makaz,Ukraine,rifler,Ukraine rifle star posture,Ukraine rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Natus Vincere,prompt_only,YES,references/originals/Natus_Vincere/makazze.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
3,Spirit,hltv-ranking-2026-06-01:Spirit:sh1ro,sh1ro,Shirov,Russia,AWPer,Russia sniper focus,Russia sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Russia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Spirit,prompt_only,YES,references/originals/Spirit/sh1ro.jpg,"Russia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
3,Spirit,hltv-ranking-2026-06-01:Spirit:magixx,magixx,Magis,Russia,rifler / support,Russia rifle star posture,Russia rifle star posture,"Fictionalized rifler / support persona built from region, role, body language and playstyle, not facial cloning.","Russia rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Spirit,prompt_only,YES,references/originals/Spirit/magixx.jpg,"Russia rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
3,Spirit,hltv-ranking-2026-06-01:Spirit:tN1R,tN1R,T-Nair,Belarus,rifler,Belarus rifle star posture,Belarus rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Belarus rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Spirit,prompt_only,YES,references/originals/Spirit/tN1R.jpg,"Belarus rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
3,Spirit,hltv-ranking-2026-06-01:Spirit:zont1x,zont1x,Zontix,Ukraine,rifler,Ukraine rifle star posture,Ukraine rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Spirit,prompt_only,YES,references/originals/Spirit/zont1x.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
3,Spirit,hltv-ranking-2026-06-01:Spirit:donk,donk,Donko,Russia,entry / star rifler,Siberian explosive entry prodigy,Siberian explosive entry prodigy,"Young, fierce, first-duel pressure","Young lean Slavic prodigy, aggressive eyes, high-energy entry posture.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Spirit,sample_pending,YES,references/originals/Spirit/donk.jpg,"Young lean Slavic prodigy, aggressive eyes, high-energy entry posture.","Medium-high archetype recognition through age, aggression, posture and hair/body type.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with reference image; current built-in draft is not final.
4,Falcons,hltv-ranking-2026-06-01:Falcons:karrigan,karrigan,Karrin,Denmark,IGL,Denmark tactical commander,Denmark tactical commander,"Fictionalized IGL persona built from region, role, body language and playstyle, not facial cloning.","Denmark IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Falcons,prompt_only,YES,references/originals/Falcons/karrigan.jpg,"Denmark IGL archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
4,Falcons,hltv-ranking-2026-06-01:Falcons:NiKo,NiKo,NicoK,Bosnia,star rifler,Bosnia rifle star posture,Bosnia rifle star posture,"Fictionalized star rifler persona built from region, role, body language and playstyle, not facial cloning.","Bosnia star rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Falcons,prompt_only,YES,references/originals/Falcons/NiKo.jpg,"Bosnia star rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
4,Falcons,hltv-ranking-2026-06-01:Falcons:TeSeS,TeSeS,Tesesu,Denmark,rifler / support,Denmark rifle star posture,Denmark rifle star posture,"Fictionalized rifler / support persona built from region, role, body language and playstyle, not facial cloning.","Denmark rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Falcons,prompt_only,YES,references/originals/Falcons/TeSeS.jpg,"Denmark rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
4,Falcons,hltv-ranking-2026-06-01:Falcons:m0NESY,m0NESY,Moness,Russia,AWPer,Young magician AWP prodigy,Young magician AWP prodigy,"Flashy, confident, high-mechanics sniper","Slim young sniper, lively eyes, youthful face, strong camera charisma.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Falcons,sample_pending,YES,references/originals/Falcons/m0NESY.jpg,"Slim young sniper, lively eyes, youthful face, strong camera charisma.",Medium-high archetype recognition through youthful sniper aura and silhouette.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with reference image; current built-in draft is not final.
4,Falcons,hltv-ranking-2026-06-01:Falcons:kyousuke,kyousuke,Kyo-S,Russia,rifler,Russia rifle star posture,Russia rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Russia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Falcons,prompt_only,YES,references/originals/Falcons/kyousuke.jpg,"Russia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
