inspired_name,real_nickname,period_team,start_year,end_year,jersey_description,source_url,prompt_key,generation_priority
A-Peak,apEX,Vitality,2026,Present,"Authentic Vitality 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,a-peak-vitality-2026,current_reference
Ropaz,ropz,Vitality,2026,Present,"Authentic Vitality 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,ropaz-vitality-2026,current_reference
Zyvo,ZywOo,Vitality,2026,Present,"Authentic Vitality 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,zyvo-vitality-2026,sample_current
FlameZe,flameZ,Vitality,2026,Present,"Authentic Vitality 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,flameze-vitality-2026,current_reference
Mezzy,mezii,Vitality,2026,Present,"Authentic Vitality 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,mezzy-vitality-2026,current_reference
Alek-C,Aleksib,Natus Vincere,2026,Present,"Authentic Natus Vincere 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,alek-c-natus-vincere-2026,sample_current
iMing,iM,Natus Vincere,2026,Present,"Authentic Natus Vincere 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,iming-natus-vincere-2026,current_reference
B-One,b1t,Natus Vincere,2026,Present,"Authentic Natus Vincere 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,b-one-natus-vincere-2026,current_reference
Wonder-F,w0nderful,Natus Vincere,2026,Present,"Authentic Natus Vincere 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,wonder-f-natus-vincere-2026,current_reference
Makaz,makazze,Natus Vincere,2026,Present,"Authentic Natus Vincere 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,makaz-natus-vincere-2026,current_reference
Shirov,sh1ro,Spirit,2026,Present,"Authentic Spirit 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,shirov-spirit-2026,current_reference
Magis,magixx,Spirit,2026,Present,"Authentic Spirit 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,magis-spirit-2026,current_reference
T-Nair,tN1R,Spirit,2026,Present,"Authentic Spirit 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,t-nair-spirit-2026,current_reference
Zontix,zont1x,Spirit,2026,Present,"Authentic Spirit 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,zontix-spirit-2026,current_reference
Donko,donk,Spirit,2026,Present,"Authentic Spirit 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,donko-spirit-2026,sample_current
Karrin,karrigan,Falcons,2026,Present,"Authentic Falcons 2026 esports jersey; preserve real team colors, logo placement, sponsor layout and stage-ready fabric texture.",https://www.hltv.org/ranking/teams/2026/june/1,karrin-falcons-2026,current_reference
