source_team,real_nickname,inspired_name,required_original_reference_path,reference_visual_anchor,similarity_target,comparison_status
Vitality,apEX,A-Peak,references/originals/Vitality/apEX.jpg,"France IGL / entry archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Vitality,ropz,Ropaz,references/originals/Vitality/ropz.jpg,"Estonia lurker / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Vitality,ZywOo,Zyvo,references/originals/Vitality/ZywOo.jpg,"Rounder/chubbier body and face impression, glasses, curly or fluffy curly hair, soft focused expression. Recognizable through silhouette/accessories/hair, not cloned facial features.","HIGH archetype recognition: chubby/rounder, glasses, curly hair, quiet French AWP aura must survive; facial identity must stay original.",missing_original_reference
Vitality,flameZ,FlameZe,references/originals/Vitality/flameZ.jpg,"Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Vitality,mezii,Mezzy,references/originals/Vitality/mezii.jpg,"United Kingdom rifler / support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Natus Vincere,Aleksib,Alek-C,references/originals/Natus_Vincere/Aleksib.jpg,"Nordic commander silhouette, pale hair, clean lines, restrained expression.",Medium-high archetype recognition through cold IGL posture and Nordic styling.,missing_original_reference
Natus Vincere,iM,iMing,references/originals/Natus_Vincere/iM.jpg,"Romania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Natus Vincere,b1t,B-One,references/originals/Natus_Vincere/b1t.jpg,"Ukraine rifler / anchor archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Natus Vincere,w0nderful,Wonder-F,references/originals/Natus_Vincere/w0nderful.jpg,"Ukraine AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Natus Vincere,makazze,Makaz,references/originals/Natus_Vincere/makazze.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
Spirit,sh1ro,Shirov,references/originals/Spirit/sh1ro.jpg,"Russia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",missing_original_reference
